Dragon_1
0.05 0 0 0.6 0 0 0.028000
0.05 0 0 -0.5 0 1 0.023256
0.459627 -0.321394 0.385673 0.383022 0 0.6 0.279070
0.469846 -0.153909 0.171010 0.422862 0 1.1 0.209302
0.433013 0.275 -0.25 0.476314 0 1 0.255814
0.421325 0.257115 -0.353533 0.306418 0 0.7 1.00

Tree_2
0.25 0 0 0.9 0.375 0
0.65 0 0 0.75 0.175 0.25
0 -0.5 0.25 0 0.5 0.2
0 0.5 -0.25 0 0.5 1.00

Tree_3
0.195 -0.488 0.344 0.443 0.4431 0.2453
0.462 0.414 -0.252 0.361 0.2511 0.5692
-0.058 -0.07 0.453 -0.111 0.5976 0.0969
-0.035 0.07 -0.469 -0.022 0.4884 0.5069
-0.637 0 0 0.501 0.8562 0.2513

Tree_4 
0.0 -0.7 0.7 0.0 0.0 0.0 0.5
0.7 0.0 0.0 0.7 0.3 0.0 1.00

Cross
0.250000 0.000000 0.000000 0.250000 0.000000 0.750000 0.125000
0.250000 0.000000 0.000000 0.250000 0.750000 0.750000 0.125000
0.250000 0.000000 0.000000 0.250000 0.250000 0.500000 0.125000
0.250000 0.000000 0.000000 0.250000 0.500000 0.500000 0.125000
0.250000 0.000000 0.000000 0.250000 0.250000 0.250000 0.125000
0.250000 0.000000 0.000000 0.250000 0.500000 0.250000 0.125000
0.250000 0.000000 0.000000 0.250000 0.000000 0.000000 0.125000
0.250000 0.000000 0.000000 0.250000 0.750000 0.000000 0.125000

Symbol_T_3x3
0.333333  0.000000  0.000000  0.333333  0.000000  0.666667  0.200000
0.333333  0.000000  0.000000  0.333333  0.333333  0.666667  0.200000
0.333333  0.000000  0.000000  0.333333  0.666667  0.666667  0.200000
0.333333  0.000000  0.000000  0.333333  0.333333  0.333333  0.200000
0.333333  0.000000  0.000000  0.333333  0.333333  0.000000  0.200000

Symbol_T_6x6
0.200000  0.000000  0.000000  0.200000  0.000000  0.800000  0.111111
0.200000  0.000000  0.000000  0.200000  0.200000  0.800000  0.111111
0.200000  0.000000  0.000000  0.200000  0.400000  0.800000  0.111111
0.200000  0.000000  0.000000  0.200000  0.600000  0.800000  0.111111
0.200000  0.000000  0.000000  0.200000  0.800000  0.800000  0.111111
0.200000  0.000000  0.000000  0.200000  0.400000  0.600000  0.111111
0.200000  0.000000  0.000000  0.200000  0.400000  0.400000  0.111111
0.200000  0.000000  0.000000  0.200000  0.400000  0.200000  0.111111
0.200000  0.000000  0.000000  0.200000  0.400000  0.000000  0.111111

Pentigree
   0.309045 -0.224534  0.224534  0.309000  0.000000  0.000000  0.166667
  -0.118045 -0.363304  0.363304 -0.118045  0.309000  0.225000  0.166667
   0.309045  0.224534 -0.224534  0.309045  0.191000  0.588000  0.166667
  -0.118045  0.363304 -0.363304 -0.118045  0.500000  0.363000  0.166667
   0.309045  0.224534 -0.224534  0.309045  0.382000  0.000000  0.166667
   0.309045 -0.224534  0.224534  0.309045  0.691000 -0.225000  0.166665

Pentadentrite
